"Time","Distance","Logger Temperature","External Voltage","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","Brake_Bias","APPS_Bias","TPS_Bias","CLT_Right_Bias","CLT_Left_Bias","Rotary_Encoder_R","Rotary_Encoder_L","Gear_Down","Gear_Up","PB_Clutch","Gear","FUSE_Status","FAN_Power","Blipper","AntiBlip","APPS1","APPS2","TPS1","TPS2","TimerAPPS","TimerTPS","TimerTPSAPPS","TimeHardFail","Brake_P_Front","Wheelspeed_1","Wheelspeed_2","CLT_RR","CLT_VR","Steering_Angle","Brake_P_Rear","Wheelspeed_1_01","Wheelspeed_2_01","CLT_VL","CLT_RL","RPM","TPS","IAT","MAP","INJPW","BARO","OILT","OILP","FUELP","CLT","IGNANG","DWELL","LAMBDA","LAMCORR","ECUTEMP","BATT","ERRFLAG","DBWPOS","DBWTRIG","Pit_Limit","UP_Accel_FL_","TYPK1_FL","TYPK2_FL","UP_Accel_FR","TYPK1_FR","TYPK2_FR","UP_Accel_RL","TYPK1_RL","TYPK2_RL","UP_Accel_RR","TYPK1_RR","TYPK2_RR","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","GPS_SpdAccuracy","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"Time","Distance","Logger Temperature","External Voltage","InlineAcc","LateralAcc","VerticalAcc","RollRate","PitchRate","YawRate","Brake_Bias","APPS_Bias","TPS_Bias","CLT_Right_Bias","CLT_Left_Bias","Rotary_Encoder_R","Rotary_Encoder_L","Gear_Down","Gear_Up","PB_Clutch","Gear","FUSE_Status","FAN_Power","Blipper","AntiBlip","APPS1","APPS2","TPS1","TPS2","TimerAPPS","TimerTPS","TimerTPSAPPS","TimeHardFail","Brake_P_Front","Wheelspeed_1","Wheelspeed_2","CLT_RR","CLT_VR","Steering_Angle","Brake_P_Rear","Wheelspeed_1_01","Wheelspeed_2_01","CLT_VL","CLT_RL","RPM","TPS","IAT","MAP","INJPW","BARO","OILT","OILP","FUELP","CLT","IGNANG","DWELL","LAMBDA","LAMCORR","ECUTEMP","BATT","ERRFLAG","DBWPOS","DBWTRIG","Pit_Limit","UP_Accel_FL_","TYPK1_FL","TYPK2_FL","UP_Accel_FR","TYPK1_FR","TYPK2_FR","UP_Accel_RL","TYPK1_RL","TYPK2_RL","UP_Accel_RR","TYPK1_RR","TYPK2_RR","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","GPS_SpdAccuracy","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"sec","km","°C","V","g","g","g","deg/s","deg/s","deg/s","%","%","%","%","%","#","#","#","#","#","gear","#","#","#","#","%","%","%","%","#","#","#","#","bar","km/h","km/h","#","#","deg","bar","km/h","km/h","#","#","rpm","%","°C","bar","ms","bar","°C","bar","bar","°C","deg","ms","lambda","%","°C","V","#","%","%","km/h","g","°C","°C","g","°C","°C","g","°C","°C","g","°C","°C","km/h","#","g","g","deg","deg","deg/s","m","#","#","°","°","cm",
"","","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87",

"20.700","0.000","32.011330","13.510188","0.063442","0.001625","-0.977781","0.239467","0.377642","0.340563","100.000000","0.000000","0.000000","50.368126","50.400913","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","2943.985107","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","0.699812","0.000000","0.000000","353.110168","358.294708","19.572502","0.000000","3.840000","655.349976","360.636108","354.705292","2351.624268","0.000000","25.000000","0.753744","2.403220","0.098000","103.000000","0.874998","0.003187","98.000000","6.999565","2.100000","1.149643","100.000000","27.999954","13.303185","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.000000","11.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","688.220703","0.880000","0.120000","47.220575460698","14.761045446257","689.87"
"20.800","0.000","32.003838","13.514808","0.057064","0.002904","-0.987945","0.234265","0.382014","0.368394","100.000000","0.000000","0.000000","50.338436","50.369671","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","2943.985107","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","0.749618","0.000000","0.000000","353.299957","358.116394","19.236122","0.000000","3.840000","655.349976","360.462769","354.972900","2399.935303","0.000000","25.000000","0.732436","2.403220","0.098000","103.000000","0.874998","0.003187","98.000000","6.999565","2.100000","1.158279","100.000000","28.044603","13.321673","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.000000","11.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","688.220154","0.878300","0.116600","47.220575453124","14.761045430950","689.86"
"20.900","0.000","31.996344","13.519426","0.063765","-0.000042","-0.988612","0.242111","0.397685","0.398822","100.000000","0.000000","0.000000","50.312492","50.338428","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","2943.985107","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","0.699812","0.000000","0.000000","353.335266","357.899963","19.290245","0.000000","3.840000","655.349976","360.128357","355.261292","2377.103516","0.000000","25.000000","0.744321","2.403220","0.098000","103.000000","0.874998","0.003187","98.000000","6.999565","2.100000","1.173997","100.000000","28.387947","13.262316","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.000000","11.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","688.219727","0.870000","0.103400","47.220575471238","14.761045395488","689.86"
"21.000","0.000","31.989555","13.523827","0.055345","0.009019","-0.983458","0.239851","0.419007","0.390658","100.000000","0.000000","0.000000","50.301243","50.312496","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","2943.985107","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","0.694773","0.000000","0.000000","353.595032","357.671600","18.818806","0.000000","3.840000","655.349976","359.947510","355.432434","2311.969727","0.000000","25.000000","0.755525","2.403220","0.098000","103.000000","0.874998","0.003191","98.000000","6.999565","2.100000","1.188571","100.000000","28.999969","13.212738","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.000000","11.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","688.220154","0.870000","0.116400","47.220575520578","14.761045358669","689.86"
"21.100","0.000","31.986393","13.526974","0.076421","0.000050","-0.990091","0.243604","0.400712","0.386453","100.000000","0.000000","0.000000","50.250000","50.306866","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","2943.985107","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","0.635241","0.000000","0.000000","353.692596","357.599884","18.999222","0.000000","3.840000","655.349976","359.759583","355.675201","2271.800781","0.000000","25.000000","0.744764","2.403672","0.098000","103.000000","0.874998","0.003207","98.000000","6.999565","2.100000","1.194610","100.000000","28.999969","13.287383","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.000000","11.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","688.221069","0.870000","0.100000","47.220575566892","14.761045339951","689.87"
"21.200","0.000","31.983232","13.530121","0.072632","0.004938","-0.973051","0.265436","0.428961","0.358993","100.000000","0.000000","0.000000","50.250000","50.269978","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","2943.985107","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","0.724657","0.000000","0.000000","353.699890","357.544525","18.999222","0.000000","3.840000","655.349976","359.384399","355.915344","2309.077637","0.000000","25.000000","0.757370","2.410555","0.098000","103.000000","0.874998","0.003199","98.000000","6.999565","2.104452","1.191454","100.000000","28.999969","13.317139","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.000000","11.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","688.221069","0.870000","0.101800","47.220575587444","14.761045322519","689.87"
"21.300","0.000","31.980070","13.533268","0.053442","0.001349","-0.989652","0.242665","0.439857","0.391153","100.000000","0.000000","0.000000","50.244373","50.218739","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","2943.985107","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","0.698875","0.000000","0.000000","353.865448","357.375427","19.222466","0.000000","3.840000","655.349976","359.292145","356.068359","2344.943604","0.000000","25.000000","0.747999","2.427831","0.098000","103.000000","0.874998","0.003207","97.874535","6.999565","2.124735","1.193492","100.000000","28.999969","13.295330","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.000000","11.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","688.219666","0.870000","0.110000","47.220575581612","14.761045276272","689.86"
"21.400","0.000","31.976910","13.536415","0.065190","0.004253","-0.970170","0.261257","0.395600","0.386948","100.000000","0.000000","0.000000","50.213116","50.213116","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","2943.985107","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","0.779736","0.000000","0.000000","353.921783","357.146729","19.211336","0.000000","3.840000","655.349976","359.097900","356.305267","2358.844482","0.000000","25.000000","0.747280","2.411014","0.098000","103.000000","0.874998","0.003199","97.248451","6.999565","2.120283","1.206016","100.000000","28.999969","13.313928","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.000000","11.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","688.217102","0.870000","0.111800","47.220575554957","14.761045211016","689.86"
"21.500","0.000","31.973747","13.539563","0.054277","0.003052","-0.987555","0.257761","0.432458","0.381258","100.000000","0.000000","0.000000","50.187485","50.181862","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","2937.325684","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","0.697820","0.000000","0.000000","353.999939","357.080566","19.319246","0.000000","3.840000","655.349976","358.894470","356.405304","2279.714844","0.000000","25.000000","0.762722","2.426662","0.098000","103.000000","0.874998","0.003207","97.000000","6.999565","2.100000","1.220272","100.000000","28.999969","13.332568","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.000000","11.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","688.214600","0.866400","0.120000","47.220575521466","14.761045150428","689.86"
"21.600","0.000","31.970587","13.542710","0.066189","0.001501","-0.983549","0.214095","0.432189","0.363941","100.000000","0.000000","0.000000","50.187485","50.150597","0.000000","3.000000","0.000000","0.000000","0.000000","0.159976","4095.000000","2906.988281","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","0.659499","0.000000","0.000000","354.016235","356.999939","19.500000","0.000000","3.840000","655.349976","358.699738","356.599884","2250.964355","0.000000","25.000000","0.750476","2.403220","0.098000","103.000000","0.874998","0.003195","97.000000","6.999565","2.100000","1.227286","100.000000","28.999969","13.354702","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.000000","11.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","688.212646","0.850000","0.120000","47.220575509981","14.761045095067","689.86"
"21.700","0.000","31.967424","13.545857","0.069677","0.007286","-0.973890","0.205141","0.395735","0.362456","100.000000","0.000000","0.000000","50.187485","50.124977","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","2906.988281","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","0.691844","0.000000","0.000000","354.099976","356.986481","19.118937","0.000000","3.840000","655.349976","358.602356","356.632446","2255.363770","0.000000","25.000000","0.772085","2.403220","0.098000","103.000000","0.874998","0.003187","97.000000","6.999565","2.100000","1.232075","100.000000","28.999969","13.350104","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.000000","11.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","688.211243","0.850000","0.123600","47.220575519400","14.761045031760","689.86"
"21.800","0.000","31.964264","13.549005","0.064019","-0.001384","-0.997910","0.241642","0.416989","0.391401","100.000000","0.000000","0.000000","50.187485","50.119354","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","2906.988281","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","0.599616","0.000000","0.000000","354.099976","356.899933","19.346563","0.000000","3.840000","655.349976","358.416992","356.699921","2216.759277","0.000000","25.000000","0.755492","2.403220","0.098000","103.000000","0.874998","0.003187","97.000000","6.999565","2.100000","1.239913","100.000000","28.999969","13.364951","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.000000","11.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","688.209290","0.850000","0.136400","47.220575517902","14.761044960006","689.85"
"21.900","0.000","31.961102","13.552152","0.073614","0.000397","-0.979888","0.242836","0.426405","0.353798","100.000000","0.000000","0.000000","50.181862","50.093735","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","2906.988281","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","0.623522","0.000000","0.000000","354.115509","356.794037","19.148949","0.000000","3.840000","655.349976","358.313477","356.872864","2229.685303","0.000000","25.000000","0.767043","2.404039","0.098000","103.000000","0.874998","0.003192","97.000000","6.999565","2.100000","1.247776","100.000000","28.999969","13.363290","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.000000","11.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","688.206665","0.848200","0.118200","47.220575493629","14.761044886668","689.85"
"22.000","0.000","31.959255","13.555309","0.051461","0.006907","-0.981549","0.232176","0.438781","0.398575","100.000000","0.000000","0.000000","50.156250","50.088112","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","2906.988281","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","0.625632","0.000000","0.000000","354.288910","356.699860","19.065992","0.000000","3.840000","655.349976","358.218353","356.924164","2238.268066","0.000000","25.000000","0.759702","2.413213","0.098000","103.000000","0.874998","0.003208","97.000000","6.999565","2.100000","1.254900","100.000000","28.999969","13.355964","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.000000","11.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","688.204285","0.840000","0.115400","47.220575472808","14.761044816824","689.85"
"22.100","0.000","31.963404","13.558517","0.060350","0.013664","-0.982765","0.239169","0.422908","0.409212","100.000000","0.000000","0.000000","50.156250","50.062492","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","2906.988281","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","0.699812","0.000000","0.000000","354.105408","356.659302","19.971102","0.000000","3.840000","655.349976","358.157013","357.000000","2164.619629","0.000000","25.000000","0.757757","2.439986","0.098000","103.000000","0.874998","0.003194","97.000000","6.999565","2.100000","1.258594","100.000000","28.935171","13.359850","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.000000","11.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","688.202637","0.840000","0.140000","47.220575466071","14.761044761074","689.85"
"22.200","0.000","31.967594","13.561754","0.063071","0.009198","-0.989732","0.238444","0.403941","0.361962","100.000000","0.000000","0.000000","50.156250","50.062492","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","2906.988281","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","0.690789","0.000000","0.000000","354.300018","356.699860","20.098574","0.000000","3.840000","655.349976","357.980133","357.000000","2170.262207","0.000000","25.000000","0.758657","2.447389","0.098000","102.854141","0.874998","0.003187","97.000000","6.999565","2.100000","1.261984","100.000000","28.588175","13.365988","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.000000","11.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","688.201843","0.840000","0.136200","47.220575469586","14.761044721834","689.85"
"22.300","0.000","31.971743","13.564961","0.072149","-0.000516","-0.984195","0.221558","0.422100","0.368888","100.000000","0.000000","0.000000","50.156250","50.062492","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","2906.988281","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","0.762567","0.000000","0.000000","354.104767","356.602295","20.098574","0.000000","3.840000","655.349976","357.866180","357.000000","2186.988770","0.000000","25.000000","0.771145","2.445466","0.098000","102.334473","0.865845","0.003192","97.000000","6.999565","2.100000","1.262258","100.000000","28.487532","13.339923","2.000000","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.000000","11.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","688.201355","0.838100","0.120000","47.220575485506","14.761044689316","689.85"
"22.400","0.000","31.975891","13.568168","0.079475","-0.000846","-0.979590","0.195248","0.447592","0.354664","100.000000","0.000000","0.000000","50.156250","50.056557","0.000000","3.000000","0.000000","0.000000","0.000000","0.000000","4095.000000","2906.988281","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","50.000000","50.000000","100.000000","50.000000","0.878585","0.000000","0.000000","354.099976","356.599854","20.089468","0.000000","3.840000","655.349976","357.699951","357.000000","2139.446533","0.000000","25.000000","0.759519","2.462962","0.098000","102.665894","0.824099","0.003213","97.000000","6.999565","2.100000","1.266327","100.000000","28.999969","13.353381","2.577593","0.000000","0.000000","0.000000","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","-0.000015","0.000000","11.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","688.201050","0.830000","0.120000","47.220575515194","14.761044646237","689.85"
